Wall time,Step,Value
1784177859.9257324,41,28.0
1784177859.9287302,98,47.0
1784177859.9307158,131,11.0
1784177859.9337058,171,40.0
1784177859.9376924,218,16.0
1784177860.3210797,267,24.0
1784177860.325057,320,53.0
1784177860.3260555,342,22.0
1784177860.327051,360,18.0
1784177860.32806,387,27.0
1784177860.3290548,407,20.0
1784177860.3300412,442,35.0
1784177860.3310378,459,17.0
1784177860.3320339,469,10.0
1784177860.3340278,496,27.0
1784177860.3360305,511,15.0
1784177860.3390105,551,25.0
1784177860.3430078,590,24.0
1784177860.3439987,601,11.0
1784177860.346995,636,13.0
1784177860.3509815,694,18.0
1784177860.3519673,708,14.0
1784177860.3539612,730,22.0
1784177860.3549728,746,16.0
1784177860.3589447,798,52.0
1784177860.3619459,859,26.0
1784177860.3659213,902,12.0
1784177860.3679247,926,24.0
1784177860.3719141,992,46.0
1784177860.3738945,1015,23.0
1784177860.3758883,1033,18.0
1784177860.3768845,1045,12.0
1784177860.377881,1059,14.0
1784177860.3798745,1073,14.0
1784177860.3868508,1123,26.0
1784177860.3888435,1141,18.0
1784177860.3958206,1195,18.0
1784177860.3998075,1242,47.0
1784177860.406842,1303,61.0
1784177860.4087772,1329,26.0
1784177860.4127636,1360,31.0
1784177860.415804,1415,17.0
1784177860.4167516,1431,16.0
1784177860.4187446,1454,23.0
1784177860.4197404,1480,26.0
1784177860.421745,1491,11.0
1784177860.4227312,1508,17.0
1784177860.4247243,1525,17.0
1784177860.425733,1543,18.0
1784177860.4287105,1560,17.0
1784177860.4297073,1586,26.0
1784177860.4346907,1622,22.0
1784177860.4366844,1642,20.0
1784177860.4376814,1663,21.0
1784177860.4386778,1676,13.0
1784177860.4426646,1709,14.0
1784177860.4446611,1723,14.0
1784177860.4496531,1762,39.0
1784177860.4506373,1774,12.0
1784177860.4536278,1844,23.0
1784177860.455621,1871,27.0
1784177860.4596088,1926,25.0
1784177860.4606047,1955,29.0
1784177860.4625986,1970,15.0
1784177860.4655995,1984,14.0
1784177860.4675806,2002,18.0
1784177860.4695745,2018,16.0
1784177860.473561,2114,35.0
1784177860.4765508,2128,14.0
1784177860.4785452,2149,21.0
1784177860.4815352,2161,12.0
1784177860.4875147,2228,34.0
1784177860.499097,2327,49.0
1784177860.5000846,2337,10.0
1784177860.502087,2358,21.0
1784177860.502087,2372,14.0
1784177860.5060647,2428,10.0
1784177860.5100515,2467,39.0
1784177860.5120497,2492,25.0
1784177860.516043,2547,13.0
1784177860.5170386,2578,31.0
1784177860.5240047,2670,44.0
1784177860.532975,2753,43.0
1784177860.535965,2789,36.0
1784177860.5369616,2802,13.0
1784177860.5409496,2837,35.0
1784177860.5419457,2848,11.0
1784177860.5439384,2859,11.0
1784177860.5469277,2889,19.0
1784177860.547925,2899,10.0
1784177860.5499177,2921,22.0
1784177860.5519106,2934,13.0
1784177860.5549004,2983,49.0
1784177860.5628743,3074,73.0
1784177860.5658648,3102,28.0
1784177860.571845,3164,18.0
1784177860.576828,3212,12.0
