Wall time,Step,Value
1784278382.7555342,14,15.0
1784278382.7605171,63,49.0
1784278382.819155,99,26.0
1784278382.8201797,114,15.0
1784278382.821183,134,20.0
1784278382.821183,145,11.0
1784278382.822162,170,25.0
1784278382.8231354,183,13.0
1784278382.8251631,226,43.0
1784278382.8261364,238,12.0
1784278382.827144,252,14.0
1784278382.8281395,274,22.0
1784278382.829094,290,16.0
1784278382.8301017,301,11.0
1784278382.8321395,314,13.0
1784278382.8340735,338,24.0
1784278382.836038,358,20.0
1784278382.8371346,380,22.0
1784278382.8381104,395,15.0
1784278382.8390803,421,26.0
1784278382.841095,446,25.0
1784278382.8430934,480,34.0
1784278382.8441203,502,22.0
1784278382.84506,520,18.0
1784278382.8479977,584,64.0
1784278382.8500032,636,52.0
1784278382.8509889,652,16.0
1784278382.8529816,683,13.0
1784278382.8539782,697,14.0
1784278382.8549852,717,20.0
1784278382.8569686,728,11.0
1784278382.858975,753,25.0
1784278382.8609564,766,13.0
1784278382.8659387,788,9.0
1784278382.8669438,812,24.0
1784278382.8679318,826,14.0
1784278382.8689377,852,26.0
1784278382.8699257,864,12.0
1784278382.872929,912,13.0
1784278382.878895,979,67.0
1784278382.8798926,1002,23.0
1784278382.8818944,1026,24.0
1784278382.8828964,1041,15.0
1784278382.8838897,1056,15.0
1784278382.8858721,1083,12.0
1784278382.8868814,1105,22.0
1784278382.8908546,1147,18.0
1784278382.8908546,1160,13.0
1784278382.8918564,1176,16.0
1784278382.89285,1198,22.0
1784278382.8968365,1220,22.0
1784278382.898829,1238,18.0
1784278382.900822,1268,13.0
1784278382.9028158,1289,21.0
1784278382.903823,1302,13.0
1784278382.903823,1312,10.0
1784278382.9058135,1327,15.0
1784278382.9077992,1354,27.0
1784278382.9087963,1377,23.0
1784278382.9127946,1405,28.0
1784278382.9137874,1428,23.0
1784278382.9137874,1438,10.0
1784278382.9147754,1456,18.0
1784278382.9187622,1512,19.0
1784278382.92177,1553,41.0
1784278382.922784,1566,13.0
1784278382.925827,1609,43.0
1784278382.9307277,1626,17.0
1784278382.93273,1641,15.0
1784278382.9347093,1655,14.0
1784278382.9357052,1676,21.0
1784278382.9367027,1697,21.0
1784278382.9397032,1738,18.0
1784278382.9446757,1775,37.0
1784278382.9466822,1808,20.0
1784278382.9486623,1831,23.0
1784278382.9496686,1844,13.0
1784278382.9516597,1894,50.0
1784278382.9546418,1931,37.0
1784278382.955652,1941,10.0
1784278382.9576323,1969,13.0
1784278382.9606233,1993,24.0
1784278382.9626153,2018,25.0
1784278382.964618,2034,16.0
1784278382.967608,2061,27.0
1784278382.9686053,2082,21.0
1784278382.9695919,2096,14.0
1784278382.9726496,2135,23.0
1784278382.9736931,2145,10.0
1784278382.9745758,2159,14.0
1784278382.977577,2192,33.0
1784278382.9795585,2223,31.0
1784278382.981561,2243,20.0
1784278382.9825566,2264,21.0
1784278382.983545,2281,17.0
1784278382.9855385,2302,21.0
1784278382.9865437,2318,16.0
1784278382.9875445,2334,16.0
1784278382.9875445,2346,12.0
1784278382.9895263,2357,11.0
1784278382.992518,2375,18.0
1784278382.9935126,2393,18.0
1784278382.9965138,2430,37.0
1784278382.9974985,2442,12.0
1784278383.0004885,2511,69.0
1784278383.001499,2531,20.0
1784278383.0044858,2567,36.0
1784278383.0064685,2584,17.0
1784278383.0084765,2613,29.0
1784278383.0104554,2633,20.0
1784278383.013457,2665,32.0
1784278383.0154464,2677,12.0
1784278383.017506,2726,49.0
1784278383.0195062,2765,39.0
1784278383.0224545,2801,36.0
1784278383.0234115,2813,12.0
1784278383.0294013,2839,14.0
1784278383.0304015,2866,27.0
1784278383.0313852,2888,22.0
1784278383.0373664,2962,39.0
1784278383.039359,2977,15.0
1784278383.0433455,3029,37.0
1784278383.0453482,3047,18.0
1784278383.0473397,3108,36.0
1784278383.053313,3163,34.0
1784278383.0563018,3187,24.0
1784278383.0573068,3209,22.0
1784278383.0612943,3248,39.0
1784278383.062282,3263,15.0
1784278383.064283,3283,20.0
1784278383.0662684,3329,27.0
1784278383.0682616,3368,39.0
1784278383.0712519,3391,23.0
1784278383.0742545,3413,22.0
1784278383.0772414,3481,31.0
1784278383.0792255,3498,17.0
1784278383.0812187,3521,23.0
1784278383.0891922,3554,33.0
1784278383.0921826,3573,19.0
1784278383.094176,3587,14.0
1784278383.0961688,3603,16.0
1784278383.1011605,3660,36.0
1784278383.102149,3673,13.0
1784278383.1051493,3711,12.0
1784278383.1071408,3731,20.0
1784278383.1091354,3777,20.0
1784278383.1111917,3797,20.0
1784278383.1132019,3817,20.0
1784278383.1201034,3880,27.0
1784278383.1210854,3895,15.0
1784278383.124075,3922,27.0
1784278383.1291356,3970,22.0
1784278383.1301234,3986,16.0
1784278383.1320496,4000,14.0
1784278383.1360435,4051,51.0
1784278383.1380808,4075,13.0
1784278383.1410787,4126,51.0
1784278383.1440833,4154,28.0
1784278383.1470504,4178,24.0
1784278383.1490679,4198,20.0
1784278383.152061,4220,22.0
1784278383.154045,4232,12.0
1784278383.1550667,4248,16.0
1784278383.1580212,4287,39.0
1784278383.160013,4298,11.0
1784278383.162997,4326,28.0
1784278383.1640363,4340,14.0
1784278383.169998,4401,32.0
1784278383.1789556,4486,10.0
1784278383.1806054,4500,14.0
1784278383.1833465,4515,15.0
1784278383.1853886,4530,15.0
1784278383.187335,4569,39.0
1784278383.1893444,4587,18.0
1784278383.1932452,4623,23.0
1784278383.1942427,4637,14.0
1784278383.1983075,4666,29.0
1784278383.1992795,4693,27.0
1784278383.200282,4701,8.0
1784278383.207983,4776,16.0
1784278383.2099566,4794,18.0
1784278383.212954,4851,57.0
1784278383.2168598,4875,24.0
1784278383.2188532,4889,14.0
1784278383.219859,4900,11.0
1784278383.2218635,4921,21.0
1784278383.223867,4939,18.0
1784278383.2258625,4948,9.0
1784278383.227853,4965,17.0
1784278383.2288501,4980,15.0
1784278383.2318397,5010,30.0
1784278383.238894,5108,63.0
1784278383.24081,5121,13.0
1784278383.2458024,5157,36.0
1784278383.2507856,5189,14.0
1784278383.2547708,5234,45.0
1784278383.2557597,5250,16.0
1784278383.258751,5267,17.0
1784278383.2613473,5289,22.0
1784278383.2642996,5335,46.0
1784278383.266827,5364,29.0
1784278383.2757983,5416,12.0
1784278383.2777915,5456,40.0
1784278383.2827702,5502,19.0
1784278383.283759,5515,13.0
1784278383.2877476,5533,18.0
1784278383.2967157,5592,17.0
1784278383.2987502,5627,35.0
1784278383.305687,5651,24.0
1784278383.309682,5667,16.0
1784278383.3106694,5682,15.0
1784278383.3126626,5707,25.0
1784278383.3146636,5723,16.0
1784278383.3166492,5745,22.0
1784278383.3197374,5769,24.0
1784278383.322629,5812,43.0
1784278383.3256216,5822,10.0
1784278383.3296056,5847,25.0
1784278383.3335946,5861,14.0
1784278383.3415658,5922,48.0
1784278383.3455522,5945,23.0
1784278383.3505445,6006,61.0
1784278383.3525379,6020,14.0
1784278383.357546,6089,20.0
1784278383.359505,6105,16.0
1784278383.3625503,6125,20.0
1784278383.3663123,6156,21.0
1784278383.3732991,6205,11.0
1784278383.3742774,6224,9.0
1784278383.3762753,6235,11.0
1784278383.3782814,6250,15.0
1784278383.380266,6265,15.0
1784278383.3822587,6287,22.0
1784278383.3882384,6353,23.0
1784278383.3902242,6369,16.0
1784278383.395208,6414,45.0
1784278383.3972003,6428,14.0
1784278383.399203,6446,18.0
1784278383.4021835,6473,27.0
1784278383.40318,6492,19.0
1784278383.4061782,6531,39.0
1784278383.415861,6609,12.0
1784278383.4198558,6650,28.0
1784278383.4278212,6705,24.0
1784278383.4308124,6728,23.0
1784278383.4338102,6755,10.0
1784278383.4377954,6807,52.0
1784278383.4407845,6826,19.0
1784278383.4447641,6840,14.0
1784278383.4477563,6855,15.0
1784278383.4507565,6889,34.0
1784278383.4517505,6907,18.0
1784278383.4527376,6918,11.0
1784278383.453734,6929,11.0
1784278383.4587176,6944,15.0
1784278383.4637089,6965,21.0
1784278383.4696884,7020,18.0
1784278383.4716763,7038,18.0
1784278383.4756653,7081,43.0
1784278383.4796808,7116,35.0
1784278383.4826374,7141,25.0
1784278383.4884706,7169,14.0
1784278383.4914641,7181,12.0
1784278383.4954457,7202,21.0
1784278383.497494,7223,21.0
