Wall time,Step,Value
1784032012.921552,13,13.0
1784032012.9494934,40,27.0
1784032012.9634678,52,12.0
1784032012.9917471,76,24.0
1784032013.0165222,98,22.0
1784032013.0384572,116,18.0
1784032013.3613856,135,19.0
1784032013.374342,147,12.0
1784032013.3892944,160,13.0
1784032013.4261794,197,37.0
1784032013.458133,228,31.0
1784032013.5760798,270,42.0
1784032013.5880318,282,12.0
1784032013.6308997,324,42.0
1784032013.6518183,345,21.0
1784032013.6867008,373,28.0
1784032013.7710173,391,18.0
1784032013.7989821,411,20.0
1784032013.820843,431,20.0
1784032013.838783,446,15.0
1784032013.8587239,463,17.0
1784032013.8876185,490,27.0
1784032013.9135416,511,21.0
1784032013.991621,522,11.0
1784032014.0175364,542,20.0
1784032014.0294878,551,9.0
1784032014.045433,567,16.0
1784032014.0623758,579,12.0
1784032014.0997689,613,34.0
1784032014.1228092,633,20.0
1784032014.2299588,664,31.0
1784032014.243894,678,14.0
1784032014.2637901,692,14.0
1784032014.2982943,723,31.0
1784032014.3112507,733,10.0
1784032014.3320553,749,16.0
1784032014.4335754,776,27.0
1784032014.4862964,818,42.0
1784032014.5052905,833,15.0
1784032014.516942,844,11.0
1784032014.575468,894,50.0
1784032014.6933012,932,38.0
1784032014.7061837,944,12.0
1784032014.72503,961,17.0
1784032014.7525043,981,20.0
1784032014.8770866,1037,56.0
1784032014.9289494,1081,44.0
1784032014.960802,1113,32.0
1784032014.9882326,1135,22.0
1784032015.1211627,1202,67.0
1784032015.1430943,1220,18.0
1784032015.17674,1254,34.0
1784032015.291993,1302,48.0
1784032015.3226256,1328,26.0
1784032015.3632886,1357,29.0
1784032015.376731,1369,12.0
1784032015.4132605,1400,31.0
1784032015.5236447,1444,44.0
1784032015.552548,1466,22.0
1784032015.599437,1509,43.0
1784032015.7105181,1550,41.0
1784032015.8121803,1640,90.0
1784032015.9317882,1683,43.0
1784032015.9716768,1718,35.0
1784032016.0433848,1787,69.0
1784032016.1330528,1807,20.0
1784032016.160961,1832,25.0
1784032016.212605,1884,52.0
1784032016.332221,1940,56.0
1784032016.4040112,2010,70.0
1784032016.515099,2058,48.0
1784032016.5361047,2079,21.0
1784032016.5722647,2110,31.0
1784032016.650261,2176,66.0
1784032016.76745,2224,48.0
1784032016.9667897,2343,119.0
1784032017.1924329,2505,162.0
1784032017.3389063,2577,72.0
1784032017.3898783,2623,46.0
1784032017.6141484,2777,154.0
1784032017.8073316,2901,124.0
1784032017.9309196,2952,51.0
1784032018.1132257,3080,128.0
1784032018.183421,3149,69.0
1784032018.3511584,3253,104.0
1784032018.4289265,3324,71.0
1784032018.5366044,3372,48.0
1784032018.5645068,3400,28.0
1784032018.7576847,3531,131.0
1784032018.7975614,3571,40.0
1784032018.944061,3652,81.0
1784032019.1392872,3794,142.0
1784032019.3357835,3935,141.0
1784032019.525749,4058,123.0
1784032019.7403224,4209,151.0
1784032019.8413982,4253,44.0
1784032020.0947433,4441,188.0
1784032020.2373016,4522,81.0
1784032020.4199784,4634,112.0
1784032020.6748745,4830,196.0
1784032020.8568819,4954,124.0
1784032021.2592642,5234,280.0
1784032021.5203557,5378,144.0
1784032021.6399794,5495,117.0
1784032021.741017,5531,36.0
1784032021.794803,5578,47.0
1784032022.0256214,5737,159.0
1784032022.34165,5940,203.0
1784032022.6134953,6141,201.0
1784032022.8068318,6234,93.0
1784032023.028268,6346,112.0
1784032023.2786367,6465,119.0
1784032023.8220358,6754,289.0
1784032024.2136106,6916,162.0
1784032024.3551342,7013,97.0
1784032024.7462192,7175,162.0
1784032025.674317,7675,500.0
1784032026.121078,7877,202.0
1784032026.339104,7976,99.0
1784032026.9490938,8293,317.0
1784032027.5992672,8584,291.0
1784032027.7132015,8659,75.0
1784032027.925094,8745,86.0
1784032028.4390001,8888,143.0
1784032028.9438052,9027,139.0
1784032029.5030177,9175,148.0
1784032030.0850682,9338,163.0
1784032030.4567134,9433,95.0
1784032031.2717514,9626,193.0
1784032031.5030332,9711,85.0
1784032032.3302727,9906,195.0
1784032032.8430376,10038,132.0
1784032033.748083,10262,224.0
1784032033.838786,10293,31.0
1784032034.7064812,10502,209.0
1784032034.9484777,10585,83.0
1784032035.357976,10676,91.0
1784032035.8313308,10797,121.0
1784032036.3807585,10936,139.0
1784032036.8859923,11055,119.0
1784032037.7792847,11269,214.0
1784032038.0275137,11352,83.0
1784032038.430788,11448,96.0
1784032039.1502469,11645,197.0
1784032040.0541239,11860,215.0
1784032040.4067492,11930,70.0
1784032041.176359,12156,226.0
1784032042.4291358,12433,277.0
1784032042.6560235,12515,82.0
1784032044.1589289,12911,396.0
1784032044.6234937,13027,116.0
1784032045.0319805,13117,90.0
1784032045.4132965,13212,95.0
1784032046.3981068,13456,244.0
1784032047.1107442,13657,201.0
1784032047.956014,13857,200.0
1784032048.0006006,13872,15.0
1784032048.2174368,13951,79.0
1784032049.2207537,14202,251.0
1784032049.969305,14356,154.0
1784032051.0763109,14643,287.0
1784032051.532855,14748,105.0
1784032052.6133535,15024,276.0
1784032052.717815,15057,33.0
1784032054.2355535,15383,326.0
1784032054.4160726,15450,67.0
1784032055.8154154,15760,310.0
1784032056.9156294,16040,280.0
1784032058.4179068,16429,389.0
1784032059.3841252,16681,252.0
1784032060.0404723,16868,187.0
1784032060.3612146,16935,67.0
