Algorithm,Seed,EpisodesLogged,LastStep,FinalObservedReturn,Final20Mean,Final20Std,MaximumReturn,CSVFile
DQN,1,1000,99833,223.0,189.45,13.24456194264769,500.0,CartPole-v1__dqn__1__1784176522.csv
DQN,2,1000,99882,381.0,321.15,65.15913717886953,500.0,CartPole-v1__dqn__2__1784177855.csv
DQN,3,1000,99907,231.0,212.6,49.18536367660607,500.0,CartPole-v1__dqn__3__1784278129.csv
DQN,4,1000,99801,190.0,187.0,9.978925160979065,375.0,CartPole-v1__dqn__4__1784279914.csv
DQN,5,1000,99859,303.0,307.55,78.76913301407775,500.0,CartPole-v1__dqn__5__1784282142.csv
DQN+PER,1,1000,99637,451.0,430.9,37.38828975128865,500.0,CartPole-v1__dqn_per__1__1784188987.csv
DQN+PER,2,1000,99962,207.0,215.35,16.35872533961134,490.0,CartPole-v1__dqn_per__2__1784257827.csv
DQN+PER,3,1000,99674,344.0,398.5,69.75332476512838,500.0,CartPole-v1__dqn_per__3__1784278381.csv
DQN+PER,4,1000,99850,330.0,310.4,18.717849629079783,500.0,CartPole-v1__dqn_per__4__1784280090.csv
DQN+PER,5,1000,99976,351.0,400.1,51.65054643823647,500.0,CartPole-v1__dqn_per__5__1784281466.csv
