global_step,episodic_return,algorithm,seed,run_dir
48,12.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
80,20.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
108,15.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
160,40.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
172,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
188,27.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
208,52.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
216,14.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
276,26.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
276,17.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
292,19.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
312,31.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
360,17.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
420,36.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
420,15.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
436,40.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
448,34.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
472,13.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
496,19.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
516,20.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
528,20.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
560,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
580,27.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
580,13.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
580,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
616,14.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
640,15.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
640,15.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
660,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
672,23.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
712,10.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
724,21.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
728,17.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
744,26.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
776,13.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
788,15.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
792,12.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
836,12.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
836,31.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
884,27.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
928,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
952,29.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
968,44.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
972,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
992,10.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1008,43.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1044,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1048,20.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1060,17.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1108,25.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1116,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1140,23.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1208,37.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1228,30.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1248,10.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1248,27.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1272,39.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1292,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1292,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1320,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1328,14.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1368,19.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1400,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1416,31.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1432,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1472,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1476,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1480,40.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1504,22.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1536,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1552,19.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1556,13.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1596,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1608,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1744,34.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1744,47.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1760,41.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1768,72.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1792,12.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1808,16.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1824,8.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1844,19.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1884,19.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1896,18.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1900,35.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1940,11.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1948,12.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1968,21.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
1984,35.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
2020,20.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
2024,14.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
2028,20.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
2052,17.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
2076,12.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
2084,15.0,ppo_per,5,runs\CartPole-v1__ppo_per__5__1784436075
