global_step,episodic_return,algorithm,seed,run_dir
52,13.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
56,14.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
76,19.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
92,9.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
96,24.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
132,14.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
160,27.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
180,22.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
200,26.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
208,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
220,10.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
220,22.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
260,10.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
304,24.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
304,21.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
340,35.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
344,21.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
372,17.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
392,22.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
392,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
424,13.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
448,14.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
464,18.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
500,19.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
500,40.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
540,19.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
544,24.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
560,15.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
588,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
640,13.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
644,25.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
648,22.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
688,10.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
736,23.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
768,67.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
776,22.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
796,39.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
800,16.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
860,21.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
868,25.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
880,20.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
908,28.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
932,16.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
996,34.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1004,24.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1032,25.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1072,19.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1104,56.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1124,30.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1128,24.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1152,20.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1184,20.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1204,20.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1248,16.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1252,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1260,27.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1272,36.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1300,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1320,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1324,16.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1364,11.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1384,15.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1388,22.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1436,47.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1464,20.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1464,25.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1556,23.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1560,24.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1616,15.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1616,14.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1620,46.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1664,69.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1664,12.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1668,13.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1744,19.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1748,32.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1768,26.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1780,29.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1820,13.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1824,20.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1884,16.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1884,26.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
1960,53.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
2000,10.0,ppo,1,runs\CartPole-v1__ppo__1__1784437110
