algorithm,label,seed,run_dir,last_step,episodes,overall_mean_return,final20_mean_return,final100_mean_return,normalized_auc_return,solve_step_100ep_at_475,max_return
ppo,PPO,1,runs\CartPole-v1__ppo__1__1784437110,499712,1509,330.5374420145792,500.0,496.77,414.5017005105039,243588.0,500.0
ppo,PPO,2,runs\CartPole-v1__ppo__2__1784437811,499712,1506,331.55644090305447,500.0,497.82,413.6860397541405,225732.0,500.0
ppo,PPO,3,runs\CartPole-v1__ppo__3__1784439702,499712,1532,325.427545691906,473.65,477.84,409.93890920104747,227444.0,500.0
ppo,PPO,4,runs\CartPole-v1__ppo__4__1784518887,499712,1512,329.78902116402116,500.0,491.38,412.21743134137097,240952.0,500.0
ppo,PPO,5,runs\CartPole-v1__ppo__5__1784519874,499712,1512,329.396164021164,484.75,485.19,413.4187859796409,225364.0,500.0
ppo_per,PPO+PER,1,runs\CartPole-v1__ppo_per__1__1784432398,499712,1598,312.21151439299126,500.0,496.33,414.8233538580055,273224.0,500.0
ppo_per,PPO+PER,2,runs\CartPole-v1__ppo_per__2__1784433257,499712,1634,305.18359853121177,472.75,493.09,418.3040434480975,244592.0,500.0
ppo_per,PPO+PER,3,runs\CartPole-v1__ppo_per__3__1784434163,499712,1610,309.8807453416149,500.0,498.75,427.6948516639165,227424.0,500.0
ppo_per,PPO+PER,4,runs\CartPole-v1__ppo_per__4__1784434962,499712,1672,298.2822966507177,492.2,481.05,416.66170822208534,220404.0,500.0
ppo_per,PPO+PER,5,runs\CartPole-v1__ppo_per__5__1784436075,499712,1624,307.17549261083747,500.0,492.56,419.6750434548512,224664.0,500.0
