global_step,episodic_return,algorithm,seed,run_dir
68,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
80,20.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
124,14.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
148,37.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
156,19.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
172,12.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
176,44.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
216,11.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
248,25.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
256,25.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
276,25.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
292,11.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
300,21.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
304,12.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
328,13.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
344,10.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
360,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
400,18.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
416,29.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
420,19.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
456,14.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
508,37.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
576,40.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
584,19.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
600,36.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
628,52.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
640,14.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
652,19.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
664,16.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
696,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
728,16.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
744,23.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
784,36.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
804,15.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
820,31.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
864,15.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
868,35.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
888,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
924,35.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
936,18.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
972,26.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1000,28.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1000,19.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1016,11.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1040,26.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1076,19.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1120,30.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1144,26.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1168,12.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1212,34.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1244,57.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1256,22.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1300,22.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1304,15.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1320,16.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1332,47.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1368,16.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1400,25.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1400,20.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1420,13.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1432,25.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1456,14.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1460,10.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1508,12.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1520,22.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1548,37.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1548,23.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1556,12.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1612,14.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1616,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1644,24.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1668,37.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1668,13.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1736,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1748,26.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1772,26.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1780,42.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1816,17.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1820,21.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1852,18.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
1872,13.0,ppo_prioritized_replay_ablation,4,runs\CartPole-v1__ppo_prioritized_replay_ablation__4__1784605154
