global_step,episodic_return,algorithm,seed,run_dir
68,17.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
80,20.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
124,14.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
148,37.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
156,19.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
172,12.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
176,44.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
216,11.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
248,25.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
256,25.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
276,25.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
292,11.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
300,21.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
304,12.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
328,13.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
344,10.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
360,17.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
400,18.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
416,29.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
420,19.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
456,14.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
508,37.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
576,40.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
584,19.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
600,36.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
628,52.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
640,14.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
652,19.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
664,16.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
696,17.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
728,16.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
744,23.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
784,36.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
804,15.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
820,31.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
864,15.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
868,35.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
888,17.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
924,35.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
936,18.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
972,26.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1000,28.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1000,19.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1016,11.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1040,26.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1076,19.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1120,30.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1144,26.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1168,12.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1212,34.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1244,57.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1256,22.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1300,22.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1304,15.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1320,16.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1332,47.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1368,16.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1400,25.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1400,20.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1420,13.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1432,25.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1456,14.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1460,10.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1508,12.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1520,22.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1548,37.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1548,23.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1552,11.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1596,11.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1616,17.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
1644,24.0,ppo,4,runs\CartPole-v1__ppo__4__1784518887
