global_step,episodic_return,algorithm,seed,run_dir
52,13.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
56,14.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
76,19.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
92,9.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
96,24.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
132,14.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
160,27.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
180,22.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
200,26.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
208,12.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
220,10.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
220,22.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
260,10.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
304,24.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
304,21.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
340,35.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
344,21.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
372,17.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
392,22.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
392,12.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
424,13.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
448,14.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
464,18.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
500,19.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
500,40.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
540,19.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
544,24.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
560,15.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
588,12.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
640,13.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
644,25.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
648,22.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
688,10.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
736,23.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
768,67.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
776,22.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
796,39.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
800,16.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
860,21.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
868,25.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
880,20.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
908,28.0,ppo_uniform_replay_ablation,1,runs\CartPole-v1__ppo_uniform_replay_ablation__1__1784558531
